Date,ID,IMAGE_NAME,Latitude,Longitude
2018-03-22,51,1497087487000_IMG,45.3913315,-121.6769532
2018-03-22,52,1497087489000_IMG,45.3917911,-121.6764946
2018-03-22,53,1497087491000_IMG,45.3922507,-121.676036
2018-03-22,54,1497087493000_IMG,45.3927103,-121.6755774
2018-03-22,55,1497087495000_IMG,45.3931699,-121.6751187
2018-03-22,56,1497087497000_IMG,45.3936295,-121.6746602
2018-03-22,57,1497087499000_IMG,45.3940891,-121.6742016
2018-03-22,58,1497087501000_IMG,45.3945487,-121.673743
2018-03-22,59,1497087503000_IMG,45.3950083,-121.6732844
2018-03-22,60,1497087505000_IMG,45.3954679,-121.6728258
2018-03-22,61,1497087507000_IMG,45.3959275,-121.6723672
2018-03-22,62,1497087509000_IMG,45.3963871,-121.6719086
2018-03-22,63,1497087511000_IMG,45.3968467,-121.67145
2018-03-22,64,1497087513000_IMG,45.3973063,-121.6709914
2018-03-22,65,1497087515000_IMG,45.3977659,-121.6705328
2018-03-22,66,1497087517000_IMG,45.3982255,-121.6700742
2018-03-22,67,1497087519000_IMG,45.3986851,-121.6696156
2018-03-22,68,1497087521000_IMG,45.3991447,-121.669157
2018-03-22,69,1497087523000_IMG,45.3996043,-121.6686984
2018-03-22,70,1497087525000_IMG,45.4000639,-121.6682398
2018-03-22,71,1497087527000_IMG,45.4005235,-121.6677812
2018-03-22,72,1497087529000_IMG,45.4009831,-121.6673226
2018-03-22,73,1497087531000_IMG,45.4014427,-121.666864
2018-03-22,74,1497087533000_IMG,45.4019023,-121.6664054
2018-03-22,75,1497087535000_IMG,45.4023619,-121.6659468
2018-06-14,26,1497087437000_IMG,38.0057996,-119.0354608
2018-06-14,27,1497087439000_IMG,38.0062592,-119.0350022
2018-06-14,28,1497087441000_IMG,38.0067188,-119.0345435
2018-06-14,29,1497087443000_IMG,38.0071784,-119.0340849
2018-06-14,30,1497087445000_IMG,38.007638,-119.0336263
2018-06-14,31,1497087447000_IMG,38.0080976,-119.0331678
2018-06-14,32,1497087449000_IMG,38.0085572,-119.0327092
2018-06-14,33,1497087451000_IMG,38.0090168,-119.0322506
2018-06-14,34,1497087453000_IMG,38.0094764,-119.031792
2018-06-14,35,1497087455000_IMG,38.009936,-119.0313334
2018-06-14,36,1497087457000_IMG,38.0103956,-119.0308747
2018-06-14,37,1497087459000_IMG,38.0108552,-119.0304161
2018-06-14,38,1497087461000_IMG,38.0113148,-119.0299575
2018-06-14,39,1497087463000_IMG,38.0117744,-119.029499
2018-06-14,40,1497087465000_IMG,38.012234,-119.0290404
2018-06-14,41,1497087467000_IMG,38.0126936,-119.0285818
2018-06-14,42,1497087469000_IMG,38.0131532,-119.0281232
2018-06-14,43,1497087471000_IMG,38.0136128,-119.0276646
2018-06-14,44,1497087473000_IMG,38.0140724,-119.0272059
2018-06-14,45,1497087475000_IMG,38.014532,-119.0267473
2018-06-14,46,1497087477000_IMG,38.0149916,-119.0262887
2018-06-14,47,1497087479000_IMG,38.0154512,-119.0258302
2018-06-14,48,1497087481000_IMG,38.0159108,-119.0253716
2018-06-14,49,1497087483000_IMG,38.0163704,-119.024913
2018-06-14,50,1497087485000_IMG,38.01683,-119.0244544
2018-06-14,1,1497087387000_IMG,35.0293089,-111.0148976
2018-06-14,2,1497087389000_IMG,35.0297684,-111.014439
2018-06-14,3,1497087391000_IMG,35.0302280,-111.0139804
2018-06-14,4,1497087393000_IMG,35.0306876,-111.0135217
2018-06-14,5,1497087395000_IMG,35.0311472,-111.0130631
2018-06-14,6,1497087397000_IMG,35.0316069,-111.0126046
2018-06-14,7,1497087399000_IMG,35.0320665,-111.012146
2018-06-14,8,1497087401000_IMG,35.0325261,-111.0116874
2018-06-14,9,1497087403000_IMG,35.0329857,-111.0112288
2018-06-14,10,1497087405000_IMG,35.0334453,-111.0107702
2018-06-14,11,1497087407000_IMG,35.0339048,-111.0103116
2018-06-14,12,1497087409000_IMG,35.0343644,-111.009852
2018-06-14,13,1497087411000_IMG,35.0348240,-111.0093943
2018-06-14,14,1497087413000_IMG,35.0352836,-111.0089358
2018-06-14,15,1497087415000_IMG,35.0357433,-111.0084772
2018-06-14,16,1497087417000_IMG,35.0362029,-111.0080186
2018-06-14,17,1497087419000_IMG,35.0366625,-111.00756
2018-06-14,18,1497087421000_IMG,35.0371221,-111.0071014
2018-06-14,19,1497087423000_IMG,35.0375817,-111.0066428
2018-06-14,20,1497087425000_IMG,35.0380412,-111.0061841
2018-06-14,21,1497087427000_IMG,35.0385008,-111.0057255
2018-06-14,22,1497087429000_IMG,35.0389604,-111.005267
2018-06-14,23,1497087431000_IMG,35.0394200,-111.0048084
2018-06-14,24,1497087433000_IMG,35.0398797,-111.0043498
2018-06-14,25,1497087435000_IMG,35.0403393,-111.0038912
